Убрать эту текстуру из списка; файл меняется только после «Пересохранить…»	Remove this texture from the list; the file changes only after «Resave…»	Quitar esta textura de la lista; el archivo cambia solo tras «Volver a guardar…»
альфа	alpha	alfa
без альфы	no alpha	sin alfa
маска	mask	máscara
мипов	mips	mips
размер	size	tamaño
Ширина x высота (пробел ставит «x»; одно число — квадрат), Enter — применить	Width x height (a space becomes «x»; one number — a square), Enter — apply	Ancho x alto (el espacio pone «x»; un solo número — cuadrado), Enter — aplicar
Размер: число или «ширина x высота» (1..4096)	Size: a number or «width x height» (1..4096)	Tamaño: un número o «ancho x alto» (1..4096)
MipMap включены	MipMaps on	MipMaps activados
MipMap выключены	MipMaps off	MipMaps desactivados
Уровней сейчас: %d. Включить — полная цепочка до 1×1, выключить — один уровень (вдали текстура будет рябить)	Levels now: %d. On — the full chain down to 1×1, off — one level (the texture will shimmer far away)	Niveles ahora: %d. Activar — cadena completa hasta 1×1, desactivar — un nivel (la textura parpadeará de lejos)
сжатие	compression	compresión
DXT1 (без альфы)	DXT1 (no alpha)	DXT1 (sin alfa)
DXT2 (альфа 4 бита, premultiplied)	DXT2 (4-bit alpha, premultiplied)	DXT2 (alfa de 4 bits, premultiplicado)
DXT3 (альфа 4 бита)	DXT3 (4-bit alpha)	DXT3 (alfa de 4 bits)
DXT4 (плавная альфа, premultiplied)	DXT4 (smooth alpha, premultiplied)	DXT4 (alfa suave, premultiplicado)
DXT5 (плавная альфа)	DXT5 (smooth alpha)	DXT5 (alfa suave)
без сжатия, 32 бита	uncompressed, 32 bit	sin compresión, 32 bits
DXT1 — 4 бита на пиксель, альфа отбрасывается; DXT3 — 8 бит, альфа ступенями по 16; DXT5 — 8 бит, альфа плавная; DXT2/DXT4 — то же с предумноженным цветом (редко нужны); 32 бита — без потерь, в 4–8 раз больше	DXT1 — 4 bits per pixel, alpha dropped; DXT3 — 8 bits, alpha in steps of 16; DXT5 — 8 bits, smooth alpha; DXT2/DXT4 — the same with premultiplied colour (rarely needed); 32 bit — lossless, 4–8 times bigger	DXT1 — 4 bits por píxel, el alfa se descarta; DXT3 — 8 bits, alfa en pasos de 16; DXT5 — 8 bits, alfa suave; DXT2/DXT4 — lo mismo con color premultiplicado (rara vez necesarios); 32 bits — sin pérdidas, 4–8 veces más grande
фильтр	filter	filtro
Режим фильтрации сэмплера (в ванили почти везде LINEARMIPLINEAR = 6); адресация UV не трогается	The sampler's filter mode (vanilla is almost everywhere LINEARMIPLINEAR = 6); UV addressing is left alone	Modo de filtrado del sampler (en vanilla casi siempre LINEARMIPLINEAR = 6); el direccionamiento UV no se toca
ПКМ по строке списка — удалить	Right click on a list row — delete	Clic derecho en una fila de la lista — eliminar
Нет превью: формат не декодируется	No preview: the format cannot be decoded	Sin vista previa: el formato no se puede decodificar
Выбери текстуру в списке	Pick a texture in the list	Elige una textura en la lista
РАЗДЕЛИТЬ TXD	SPLIT THE TXD	DIVIDIR EL TXD
Модели, у которых есть общие текстуры, должны остаться в одном словаре — поэтому группы такие, как ниже.	Models sharing textures must stay in one dictionary — hence the groups below.	Los modelos que comparten texturas deben quedar en un mismo diccionario — por eso los grupos son los de abajo.
Новый TXD	New TXD	TXD nuevo
Модели	Models	Modelos
Текстур	Textures	Texturas
— не войдут	— left out	— quedan fuera
текстуры без моделей (QLT-12): %s	textures without models (QLT-12): %s	texturas sin modelos (QLT-12): %s
— остаются	— stay	— se quedan
моделей без текстур из этого TXD: %d (их TXD не меняется)	models without textures from this TXD: %d (their TXD is unchanged)	modelos sin texturas de este TXD: %d (su TXD no cambia)
Файлы пойдут в %s; строки IDE правятся на месте с копией и журналом.	The files go to %s; the IDE lines are edited in place with a copy and a journal.	Los archivos irán a %s; las líneas IDE se editan en el sitio con copia y registro.
ПЕРЕСОХРАНИТЬ TXD	RE-SAVE TXD	REGUARDAR TXD
В скобках — сколько текстур затронет каждая правка.	In brackets — how many textures each fix touches.	Entre paréntesis — cuántas texturas toca cada corrección.
Список текстур изменён (добавлено / удалено) — запишется вместе с правками.	The texture list has changed (added / removed) — it is written together with the repairs.	La lista de texturas ha cambiado (añadidas / eliminadas) — se escribirá junto con las correcciones.
SA принимает только platformId 9; данные пикселей те же, меняется только заголовок.	SA accepts platformId 9 only; the pixel data stays the same, only the header changes.	SA solo acepta platformId 9; los datos de píxeles son los mismos, solo cambia la cabecera.
палитровые (PAL4/PAL8) → DXT / 32-бит	paletted (PAL4/PAL8) → DXT / 32-bit	con paleta (PAL4/PAL8) → DXT / 32 bits
PAL8 не поддерживается современными видеокартами (LOAD-FAIL): текстура декодируется и записывается заново.	PAL8 is not supported by modern GPUs (LOAD-FAIL): the texture is decoded and written anew.	Las GPU modernas no admiten PAL8 (LOAD-FAIL): la textura se decodifica y se escribe de nuevo.
AUTOMIPMAP → явные уровни	AUTOMIPMAP → explicit levels	AUTOMIPMAP → niveles explícitos
Флаг ломает чтение уровней; цепочка мипов пересчитывается и записывается явно.	The flag breaks the reading of levels; the mip chain is recomputed and written explicitly.	El flag rompe la lectura de los niveles; la cadena de mips se recalcula y se escribe explícitamente.
неполная цепочка мипов → полная	incomplete mip chain → full	cadena de mips incompleta → completa
Бит MIPMAP есть, а уровней записано меньше, чем создаёт D3D: дальние уровни остаются мусором. Цепочка пересчитывается до 1×1.	The MIPMAP bit is set but fewer levels are stored than D3D creates: the far levels stay garbage. The chain is recomputed down to 1×1.	El bit MIPMAP está puesto pero hay menos niveles guardados de los que crea D3D: los niveles lejanos quedan como basura. La cadena se recalcula hasta 1×1.
размер не степень двойки → ближайшая	size not a power of two → nearest	tamaño que no es potencia de dos → la más cercana
Билинейная пересэмплировка до ближайшей степени двойки (256, 512, 1024…).	Bilinear resampling to the nearest power of two (256, 512, 1024…).	Remuestreo bilineal a la potencia de dos más cercana (256, 512, 1024…).
фильтр вне 1..6 → LINEARMIPLINEAR	filter outside 1..6 → LINEARMIPLINEAR	filtro fuera de 1..6 → LINEARMIPLINEAR
Мусорный режим фильтрации даёт мусорное состояние сэмплера.	A garbage filter mode gives a garbage sampler state.	Un modo de filtrado basura da un estado de sampler basura.
снять маску	clear the mask	quitar la máscara
На D3D9 маска не используется.	On D3D9 the mask is not used.	En D3D9 la máscara no se usa.
сжимать в DXT (DXT1 / DXT5 с альфой)	compress to DXT (DXT1 / DXT5 with alpha)	comprimir a DXT (DXT1 / DXT5 con alfa)
Для всех перекодируемых и несжатых текстур; выключи — будут 32-бит без потерь (в 4–8 раз больше).	For all re-encoded and uncompressed textures; turn it off for lossless 32-bit (4–8 times bigger).	Para todas las texturas recodificadas y sin comprimir; desactívalo para 32 bits sin pérdida (4–8 veces más grande).
DXT3/DXT5 без прозрачности → DXT1	DXT3/DXT5 without transparency → DXT1	DXT3/DXT5 sin transparencia → DXT1
Текстура декодируется: если альфа везде 255 — перекодируется в DXT1 (вдвое меньше); если альфа настоящая, а флага alpha нет — ставится флаг. В скобках — сколько DXT3/DXT5 будет проверено.	The texture is decoded: if alpha is 255 everywhere it is re-encoded as DXT1 (half the size); if the alpha is real but the alpha flag is missing, the flag is set. In brackets — how many DXT3/DXT5 will be checked.	La textura se decodifica: si el alfa es 255 en todas partes se recodifica a DXT1 (la mitad de tamaño); si el alfa es real pero falta la bandera alpha, se pone la bandera. Entre paréntesis — cuántas DXT3/DXT5 se comprobarán.
Файл пойдёт в %s (Настройки… → Сохранение)	The file will go to %s (Settings… → Saving)	El archivo irá a %s (Ajustes… → Guardado)
Внутри IMG: запись на место, если влезает в старые секторы; иначе — в modloader\\gta_check_fix\\ (или gta_check_out\\).	Inside IMG: written in place if it fits the old sectors; otherwise into modloader\\gta_check_fix\\ (or gta_check_out\\).	Dentro del IMG: se escribe en su sitio si cabe en los sectores antiguos; si no, en modloader\\gta_check_fix\\ (o gta_check_out\\).
Файл пишется на место, оригинал — в gta_check_backup\\text\\ при первой записи.	The file is written in place, the original goes to gta_check_backup\\text\\ on the first write.	El archivo se escribe en su sitio; el original va a gta_check_backup\\text\\ en la primera escritura.
В папку…	To folder…	A carpeta…
Выбрать папку и записать туда готовый файл; игра и журнал отката не трогаются	Pick a folder and write the finished file there; the game and the undo journal are not touched	Elegir una carpeta y escribir allí el archivo terminado; el juego y el diario de deshacer no se tocan
Превью недоступно: не удалось создать камеру	Preview unavailable: the camera could not be created	Vista previa no disponible: no se pudo crear la cámara
DFF не найден ни в одном IMG	The DFF is not in any IMG	El DFF no está en ningún IMG
librw не смог прочитать DFF	librw could not read the DFF	librw no pudo leer el DFF
DFF повреждён (индексы BinMesh/материалов вне диапазона) — превью не показано, см. строки DFF	The DFF is damaged (BinMesh/material indices out of range) — no preview, see the DFF rows	El DFF está dañado (índices de BinMesh/materiales fuera de rango) — sin vista previa, ver las filas DFF
В DFF нет геометрии	The DFF has no geometry	El DFF no tiene geometría
атомиков %d · треугольников %d · материалов с текстурой %d, без %d · TXD %s	atomics %d · triangles %d · materials with a texture %d, without %d · TXD %s	atomics %d · triángulos %d · materiales con textura %d, sin %d · TXD %s
не найден	not found	no encontrado
 · COL: сфер %d, боксов %d, граней %d	 · COL: spheres %d, boxes %d, faces %d	 · COL: esferas %d, cajas %d, caras %d
 · COL не прочитан: %s	 · COL not read: %s	 · COL no leído: %s
 · COL нет	 · no COL	 · sin COL
COL%d %s · сфер %d, боксов %d, граней %d · только коллизия	COL%d %s · spheres %d, boxes %d, faces %d · collision only	COL%d %s · esferas %d, cajas %d, caras %d · solo colisión
COL не найден	COL not found	COL no encontrado
COL не прочитан: 	COL not read: 	COL no leído: 
COL%d %s · сфер %d, боксов %d, граней %d · модели в IDE нет — только коллизия	COL%d %s · spheres %d, boxes %d, faces %d · no model in the IDE — collision only	COL%d %s · esferas %d, cajas %d, caras %d · no hay modelo en el IDE — solo colisión
Нет модели	No model	Sin modelo
Нет в TXD (розовым на модели): %s	Not in the TXD (magenta on the model): %s	No está en el TXD (en magenta sobre el modelo): %s
грань %d · атомик %d · материал %d · текстура %s · центр %.2f, %.2f, %.2f	face %d · atomic %d · material %d · texture %s · centre %.2f, %.2f, %.2f	cara %d · atomic %d · material %d · textura %s · centro %.2f, %.2f, %.2f
к модели	to the model	al modelo
Вернуть камеру к центру модели и снять выделение грани	Put the camera back on the model's centre and drop the face highlight	Devolver la cámara al centro del modelo y quitar el resaltado de la cara
коллизия	collision	colisión
Каркас COL поверх модели: сферы, боксы и меш голубым. Видно, где коллизия не совпадает с моделью или её нет.	The COL wireframe over the model: spheres, boxes and mesh in blue. Shows where the collision does not match the model or is missing.	La malla COL sobre el modelo: esferas, cajas y malla en azul. Se ve dónde la colisión no coincide con el modelo o falta.
ЛКМ — вращать, колёсико-драг — сдвиг, колесо — приблизить; клик по грани — выделить и взять её центр, двойной — приблизиться к ней	LMB — rotate, wheel-button drag — pan, wheel — zoom; click on a face — pick it and take its centre, double click — zoom to it	Botón izquierdo — girar, arrastrar con la rueda — desplazar, rueda — acercar; clic en una cara — seleccionarla y tomar su centro, doble clic — acercarse a ella
COL-файл не найден в архивах	COL file not found in the archives	Archivo COL no encontrado en los archivos
%s · моделей коллизии: %d	%s · collision models: %d	%s · modelos de colisión: %d
Версия	Version	Versión
Сферы	Spheres	Esferas
Боксы	Boxes	Cajas
Грани	Faces	Caras
Модель	Model	Modelo
нет в IDE	not in IDE	no está en el IDE
Не удалось прочитать архив	Could not read the archive	No se pudo leer el archivo
Это не VER2-архив, а рядом нет .dir	Not a VER2 archive, and there is no .dir next to it	No es un archivo VER2 y no hay .dir al lado
Не удалось прочитать запись	Could not read the entry	No se pudo leer la entrada
%s · записей: %d	%s · entries: %d	%s · entradas: %d
В IDE	In the IDE	En el IDE
да	yes	sí
Для этой записи превью нет (DFF, TXD и COL показываются)	No preview for this entry (DFF, TXD and COL are shown)	Esta entrada no tiene vista previa (se muestran DFF, TXD y COL)
Выбери запись	Pick an entry	Elige una entrada
Плитки карты (radar00.txd…) не найдены в архивах	Map tiles (radar00.txd…) not found in the archives	No se encontraron las teselas del mapa (radar00.txd…) en los archivos
Не удалось создать текстуру карты	Could not create the map texture	No se pudo crear la textura del mapa
делений	divisions	divisiones
Сетка районов: делений по каждой стороне карты	The district grid: divisions along each side of the map	Cuadrícula de distritos: divisiones por cada lado del mapa
объектов в IPL: не меньше	objects per IPL: at least	objetos por IPL: no menos de
выкл	off	apagado
Клетка с меньшим числом объектов объединяется с соседней (самой населённой из касающихся, иначе ближайшей) — меньше мелких IPL и слотов	A cell with fewer objects joins a neighbour (the most populated touching one, else the nearest) — fewer tiny IPLs and slots	Una celda con menos objetos se une a una vecina (la más poblada de las que tocan, si no la más cercana) — menos IPL pequeños y slots
не больше	at most	no más de
Районы с большим числом объектов помечаются красной рамкой — возьми делений больше	Districts with more objects get a red outline — take more divisions	Los distritos con más objetos se marcan con borde rojo — toma más divisiones
РАЗДЕЛИТЬ ПО РАЙОНАМ	SPLIT BY DISTRICTS	DIVIDIR POR DISTRITOS
Карта режется сеткой; объекты каждой клетки уходят в свои файлы data/maps/district/d<x>_<y>.*, строки добавляются в gta.dat. Оригиналы — с копией в gta_check_backup и откатом.	The map is cut by a grid; the objects of every cell go to their own files data/maps/district/d<x>_<y>.*, the lines are added to gta.dat. The originals get a copy in gta_check_backup and an undo.	El mapa se corta con una cuadrícula; los objetos de cada celda van a sus propios archivos data/maps/district/d<x>_<y>.*, las líneas se añaden a gta.dat. Los originales quedan con copia en gta_check_backup y deshacer.
клетка %.0f × %.0f ед.	cell %.0f × %.0f units	celda %.0f × %.0f unid.
IPL — расстановка по клеткам (текстовые IPL)	IPL — placements per cell (text IPLs)	IPL — colocación por celdas (IPL de texto)
Строки inst каждой клетки → d<x>_<y>.ipl (LOD-пары вместе, индексы lod пересчитаны); остальные секции остаются в исходных файлах. Интерьеры не трогаются. Само по себе памяти не экономит — это заготовка под бинарные стрим-IPL.	The inst lines of every cell → d<x>_<y>.ipl (LOD pairs together, lod indices recomputed); the other sections stay in the source files. Interiors are left alone. By itself it saves no memory — it is the ground for binary stream IPLs.	Las líneas inst de cada celda → d<x>_<y>.ipl (pares LOD juntos, índices lod recalculados); las demás secciones quedan en los archivos de origen. Los interiores no se tocan. Por sí solo no ahorra memoria — es la base para IPL stream binarios.
IDE — описания моделей, живущих только в клетке	IDE — the definitions of the models living in one cell only	IDE — definiciones de los modelos que viven solo en la celda
Строки objs/tobj/anim моделей, все копии которых стоят в одной клетке → d<x>_<y>.ide. Общие модели остаются в своих IDE.	The objs/tobj/anim lines of the models whose every copy stands in one cell → d<x>_<y>.ide. Shared models stay in their IDEs.	Las líneas objs/tobj/anim de los modelos cuyas copias están todas en una celda → d<x>_<y>.ide. Los modelos compartidos quedan en sus IDE.
COL — коллизия по клеткам	COL — collision per cell	COL — colisión por celdas
Записи COL моделей клетки → d<x>_<y>.col, из исходных .col они убираются. CColStore грузит .col по границам его моделей — коллизия района подгружается только рядом с ним.	The COL entries of the cell's models → d<x>_<y>.col, removed from the source .col files. CColStore loads a .col by the bounds of its models — the district's collision loads only near it.	Las entradas COL de los modelos de la celda → d<x>_<y>.col, se quitan de los .col de origen. CColStore carga un .col por los límites de sus modelos — la colisión del distrito se carga solo cerca de él.
TXD — текстуры LOD-моделей в отдельные словари	TXD — the LOD models' textures into dictionaries of their own	TXD — texturas de los modelos LOD en diccionarios aparte
Текстуры LOD-моделей (isLod / имя LOD*) копируются в lod_*.txd, строки IDE получают новый TXD. Из исходных TXD ничего не удаляется — потом QLT-12 / «мёртвые текстуры».	The textures of the LOD models (isLod / name LOD*) are copied into lod_*.txd, the IDE lines get the new TXD. Nothing is removed from the source TXDs — QLT-12 / «dead textures» later.	Las texturas de los modelos LOD (isLod / nombre LOD*) se copian a lod_*.txd, las líneas IDE reciben el nuevo TXD. De los TXD de origen no se borra nada — luego QLT-12 / «texturas muertas».
по районам: lod_d<x>_<y>.txd	per district: lod_d<x>_<y>.txd	por distritos: lod_d<x>_<y>.txd
один общий lod_all.txd	one shared lod_all.txd	uno común lod_all.txd
Клеток с объектами: %d · копий переедет: %d · моделей только в своей клетке: %d (LOD %d) · общих: %d	Cells with objects: %d · placements to move: %d · models living in their cell only: %d (LOD %d) · shared: %d	Celdas con objetos: %d · copias que se moverán: %d · modelos que viven solo en su celda: %d (LOD %d) · compartidos: %d
IPL-файлов после: %d из 256 слотов · объединено мелких клеток: %d · выше максимума: %d	IPL files after: %d of 256 slots · small cells merged: %d · above the maximum: %d	Archivos IPL después: %d de 256 slots · celdas pequeñas unidas: %d · por encima del máximo: %d
не трогаются (родители стрим-IPL): %d файлов	left alone (parents of stream IPLs): %d files	no se tocan (padres de IPL stream): %d archivos
Нет карты	No map	Sin mapa
маркеров: %d	markers: %d	marcadores: %d
Маркер = расставленная в IPL копия модели, у которой есть строка в таблице (с учётом фильтров). Цвет — худший уровень. Тянуть — двигать, колесо — масштаб, клик по маркеру — выбрать строку.	A marker is a placed IPL copy of a model that has a row in the table (filters apply). The colour is the worst level. Drag — move, wheel — zoom, click a marker — select its row.	Un marcador es una copia colocada en IPL de un modelo que tiene una fila en la tabla (con los filtros). El color es el peor nivel. Arrastrar — mover, rueda — zoom, clic en un marcador — seleccionar su fila.
Вся карта	Whole map	Mapa completo
Показать карту целиком	Show the whole map	Mostrar todo el mapa
Снимок	Snapshot	Captura
PNG карты со слоем и маркерами в папку игры (gta_check_shot_N.png)	PNG of the map with its layer and markers into the game folder (gta_check_shot_N.png)	PNG del mapa con su capa y marcadores en la carpeta del juego (gta_check_shot_N.png)
маркеры	markers	marcadores
проблемы	problems	problemas
стриминг	streaming	streaming
плотность	density	densidad
Только маркеры строк таблицы	Only the markers of the table rows	Solo los marcadores de las filas de la tabla
Вся карта в цвете: красный — краш, оранжевый — ошибка, жёлтый — предупреждение, зелёный — объекты без проблем (по строкам таблицы с учётом фильтров), клетка 50 м	The whole map in colour: red — crash, orange — error, yellow — warning, green — objects without problems (by the table rows, filters applied), 50 m cells	Todo el mapa en color: rojo — crash, naranja — error, amarillo — aviso, verde — objetos sin problemas (según las filas de la tabla con los filtros), celdas de 50 m
Нагрузка стриминга: сколько МБ моделей и текстур игра должна держать в памяти, стоя в этой точке (все объекты, чья дальность прорисовки достаёт сюда). Зелёный < 32 МБ, жёлтый ~64, красный ≥ 128 — там будут подгрузки и пропадания	Streaming load: how many MB of models and textures the game must keep in memory standing at this point (every object whose draw distance reaches here). Green < 32 MB, yellow ~64, red ≥ 128 — loading hitches and vanishing there	Carga de streaming: cuántos MB de modelos y texturas debe mantener el juego en memoria estando en este punto (todo objeto cuya distancia de dibujado llega hasta aquí). Verde < 32 MB, amarillo ~64, rojo ≥ 128 — ahí habrá tirones y desapariciones
Плотность: объектов в клетке 50×50 м. Зелёный — единицы, жёлтый ~80, красный ≥ 160 (в ванили не больше ~80)	Density: objects per 50×50 m cell. Green — a few, yellow ~80, red ≥ 160 (vanilla never exceeds ~80)	Densidad: objetos por celda de 50×50 m. Verde — unos pocos, amarillo ~80, rojo ≥ 160 (en vanilla no más de ~80)
районы	districts	distritos
Сетка районов поверх карты: цвет — клетка, подпись — копий и МБ. Шаг — «делений»; «Разделить…» раскладывает IPL / IDE / COL / LOD-TXD по клеткам.	The district grid over the map: a colour per cell, the label — placements. The step — «divisions»; «Split…» lays IPL / IDE / COL / LOD TXD out by cell.	Cuadrícula de distritos sobre el mapa: un color por celda, la etiqueta — copias. El paso — «divisiones»; «Dividir…» reparte IPL / IDE / COL / TXD de LOD por celdas.
d%d_%d: объектов %d, из них переедут %d · моделей только здесь %d (LOD %d) · DFF+TXD %.1f МБ	d%d_%d: objects %d, of them moving %d · models only here %d (LOD %d) · DFF+TXD %.1f MB	d%d_%d: objetos %d, de ellos se mueven %d · modelos solo aquí %d (LOD %d) · DFF+TXD %.1f MB
(%d, %d): стриминг %.0f МБ, объектов в радиусе видимости %d	(%d, %d): streaming %.0f MB, objects within view distance %d	(%d, %d): streaming %.0f MB, objetos a distancia de vista %d
(%d, %d): объектов в клетке 50×50 м: %d	(%d, %d): objects in the 50×50 m cell: %d	(%d, %d): objetos en la celda de 50×50 m: %d
Двойной клик — перелететь сюда в 3D	Double click — fly here in 3D	Doble clic — volar aquí en 3D
краш	crash	crash
ошибка	error	error
предупреждение	warning	aviso
строк нет	no rows	sin filas
DFF + TXD < 1 МБ	DFF + TXD < 1 MB	DFF + TXD < 1 MB
~2 МБ	~2 MB	~2 MB
≥ 4 МБ	≥ 4 MB	≥ 4 MB
дальность ≤ 100	distance ≤ 100	distancia ≤ 100
< 5k треугольников	< 5k triangles	< 5k triángulos
LOD-модель	LOD model	modelo LOD
есть LOD-пара	has a LOD pair	tiene par LOD
без LOD, дальность < 300 (норма)	no LOD, distance < 300 (normal)	sin LOD, distancia < 300 (normal)
без LOD, дальность ≥ 300	no LOD, distance ≥ 300	sin LOD, distancia ≥ 300
COL нет	no COL	sin COL
COL пустой	empty COL	COL vacío
COL есть	has COL	con COL
мало объектов в клетке 50 м	few objects in the 50 m cell	pocos objetos en la celda de 50 m
под водой (0x400)	under water (0x400)	bajo el agua (0x400)
туннель (0x800)	tunnel (0x800)	túnel (0x800)
неважный стриминг (0x100)	unimportant stream (0x100)	streaming no importante (0x100)
tobj — по времени	tobj — timed	tobj — por hora
обычный	normal	normal
с прозрачностью (флаги IDE 4/8)	with transparency (IDE flags 4/8)	con transparencia (flags IDE 4/8)
без	without	sin
TXD у одной модели — свой запрос стриминга на каждую	TXD used by one model — its own streaming request per model	TXD de un solo modelo — petición de streaming propia por modelo
TXD на 2–4 модели	TXD shared by 2–4 models	TXD de 2–4 modelos
общий TXD (≥ 5 моделей)	shared TXD (≥ 5 models)	TXD compartido (≥ 5 modelos)
ванильный архив	stock archive	archivo vanilla
мод (свой IMG или modloader)	mod (own IMG or modloader)	mod (IMG propio o modloader)
…и ещё %d	…and %d more	…y %d más
серый — остаётся в своём файле	grey — stays in its own file	gris — se queda en su propio archivo
объектов	objects	objetos
моделей %d · нарисовано %d%s	models %d · drawn %d%s	modelos %d · dibujados %d%s
 · загрузка %d	 · loading %d	 · cargando %d
Левая кнопка — двигать по карте, колёсико зажать (или правая) — вращать, прокрутка — приблизить. Маркер над моделью — строка таблицы (с учётом фильтров): клик выбирает строку, двойной клик подлетает к модели. Выбранная модель обведена оранжевой рамкой.	Left button — move across the map, hold the wheel (or right button) — rotate, scroll — zoom. A marker over a model is a table row (filters apply): click selects the row, double-click flies to the model. The selected model is outlined in orange.	Botón izquierdo — mover por el mapa, rueda pulsada (o botón derecho) — girar, desplazar la rueda — acercar. Un marcador sobre un modelo es una fila de la tabla (con los filtros): clic selecciona la fila, doble clic vuela al modelo. El modelo seleccionado se marca con un contorno naranja.
интерьеры	interiors	interiores
дальность ×%.1f	range ×%.1f	alcance ×%.1f
Множитель дистанции прорисовки из IDE: больше — дальше видно, но больше моделей грузится	Multiplier for the draw distance from the IDE: bigger — you see farther, but more models get loaded	Multiplicador de la distancia de dibujado del IDE: mayor — se ve más lejos, pero se cargan más modelos
К выбранному	To selected	Al seleccionado
Камера к выбранной строке	Camera to the selected row	Cámara a la fila seleccionada
PNG этого вида в папку игры (gta_check_shot_N.png)	PNG of this view into the game folder (gta_check_shot_N.png)	PNG de esta vista en la carpeta del juego (gta_check_shot_N.png)
найти модель	find model	buscar modelo
Имя модели из IDE, Enter — подлететь к ближайшей её копии	A model name from the IDE, Enter — fly to its nearest copy	Nombre de modelo del IDE, Enter — volar a su copia más cercana
«%s» нигде не расставлена	«%s» is placed nowhere	«%s» no está colocado en ningún sitio
Модели «%s» нет в IDE	No model «%s» in the IDEs	No hay modelo «%s» en los IDE
Обычные модели. Выключено — остаются только LOD-модели (весь мир как издалека)	Ordinary models. Off — only the LOD models remain (the whole world as from afar)	Modelos normales. Desactivado — quedan solo los modelos LOD (todo el mundo como desde lejos)
Каркас COL у всех нарисованных моделей в 400 ед. от камеры (до 300 штук) — видно, где коллизии нет или она не совпадает с моделью	The COL wireframe on every drawn model within 400 units of the camera (up to 300) — shows where collision is missing or does not match the model	La malla COL en todos los modelos dibujados a 400 unidades de la cámara (hasta 300) — se ve dónde falta la colisión o no coincide con el modelo
LOD-модели: показаны там, где их дети далеко, как в игре; без DFF — везде	LOD models: shown where their children are far, as in the game; without DFF — everywhere	Modelos LOD: se muestran donde sus hijos están lejos, como en el juego; sin DFF — en todas partes
Текстуры. Выключено — все модели серые, видна только форма	Textures. Off — every model is grey, only the shape shows	Texturas. Desactivado — todos los modelos en gris, solo se ve la forma
стриминг здесь: %d копий, %.0f МБ моделей и текстур (просмотрщик держит %.0f МБ)	streaming here: %d copies, %.0f MB of models and textures (the viewer holds %.0f MB)	streaming aquí: %d copias, %.0f MB de modelos y texturas (el visor mantiene %.0f MB)
стриминг: %d копий, %.0f МБ (держит %.0f МБ)	streaming: %d copies, %.0f MB (holding %.0f MB)	streaming: %d copias, %.0f MB (retiene %.0f MB)
Что игра должна держать в памяти, стоя в точке камеры: все копии, чья дальность прорисовки достаёт до неё, и вес их DFF + TXD без повторов. Жёлтый от 64 МБ, красный от 128 — стандартного бюджета стриминга не хватит: подгрузки, пропадания моделей, лаги.	What the game must keep in memory standing at the camera point: every copy whose draw distance reaches it, and the weight of their DFF + TXD without repeats. Yellow from 64 MB, red from 128 — the standard streaming budget will not do: loading hitches, vanishing models, lag.	Lo que el juego debe mantener en memoria estando en el punto de la cámara: toda copia cuya distancia de dibujado llega hasta él y el peso de sus DFF + TXD sin repetir. Amarillo desde 64 MB, rojo desde 128 — el presupuesto estándar de streaming no alcanza: tirones de carga, modelos que desaparecen, lag.
цвет:	colour:	color:
вес DFF+TXD	DFF+TXD weight	peso DFF+TXD
дальность	draw distance	distancia
полигоны	polygons	polígonos
архив	archive	archivo IMG
ваниль / мод	stock / mod	vanilla / mod
флаги IPL	IPL flags	flags IPL
прозрачность	transparency	transparencia
TXD в стриминге	TXD in streaming	TXD en streaming
Модели с текстурами, как в игре	Textured models, as in the game	Modelos con texturas, como en el juego
Каждая модель в цвете худшей строки таблицы (с учётом фильтров): красный — краш, оранжевый — ошибка, жёлтый — предупреждение; зелёный — строк нет	Every model in the colour of its worst table row (filters applied): red — crash, orange — error, yellow — warning; green — no rows	Cada modelo con el color de su peor fila de la tabla (con los filtros): rojo — crash, naranja — error, amarillo — aviso; verde — sin filas
Каждая модель по весу DFF + TXD: зелёный — лёгкая, жёлтый ~2 МБ, красный ≥ 4 МБ — кто нагружает стриминг	Every model by DFF + TXD weight: green — light, yellow ~2 MB, red ≥ 4 MB — who loads the streaming	Cada modelo por el peso de DFF + TXD: verde — ligero, amarillo ~2 MB, rojo ≥ 4 MB — quién carga el streaming
Дальность прорисовки из IDE: зелёный ≤ 100, жёлтый ~300, красный > 300 (SA считает такие big building и держит их запрос с 300 м). Кому сколько нужно — решают правила QLT-01/02 по радиусу модели	Draw distance from the IDE: green ≤ 100, yellow ~300, red > 300 (SA files those as big buildings and keeps their request from 300 m). Who needs how much is decided by rules QLT-01/02 from the model radius	Distancia de dibujado del IDE: verde ≤ 100, amarillo ~300, rojo > 300 (SA los registra como big building y mantiene su petición desde 300 m). Cuánto necesita cada uno lo deciden las reglas QLT-01/02 por el radio del modelo
Треугольников в DFF: зелёный < 5k, жёлтый ~10k, красный ≥ 20k — тяжёлые для рендера (только загруженные модели)	Triangles in the DFF: green < 5k, yellow ~10k, red ≥ 20k — heavy to render (loaded models only)	Triángulos del DFF: verde < 5k, amarillo ~10k, rojo ≥ 20k — pesados de renderizar (solo modelos cargados)
Свой цвет каждому IPL-файлу; легенда — сколько объектов и МБ у каждого (нагрузка расстановки)	Its own colour for every IPL file; the legend shows objects and MB per file (placement load)	Un color propio para cada archivo IPL; la leyenda muestra objetos y MB de cada uno (carga de la colocación)
